indNR	IndivName	bin_generic	post_prob	bin	run	loc	ind_order
1	PL17_100indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_100
1	PL17_100indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_100
1	PL17_100indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_100
1	PL17_100indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_100
1	PL17_100indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_100
1	PL17_100indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_100
2	PL17_111indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_111
2	PL17_111indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_111
2	PL17_111indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_111
2	PL17_111indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_111
2	PL17_111indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_111
2	PL17_111indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_111
3	PL17_119maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_119
3	PL17_119maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_119
3	PL17_119maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_119
3	PL17_119maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_119
3	PL17_119maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_119
3	PL17_119maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_119
4	PL17_120maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_120
4	PL17_120maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_120
4	PL17_120maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_120
4	PL17_120maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_120
4	PL17_120maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_120
4	PL17_120maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_120
5	PL17_121maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_121
5	PL17_121maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_121
5	PL17_121maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_121
5	PL17_121maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_121
5	PL17_121maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_121
5	PL17_121maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_121
6	PL17_122maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_122
6	PL17_122maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_122
6	PL17_122maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_122
6	PL17_122maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_122
6	PL17_122maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_122
6	PL17_122maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_122
7	PL17_123maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_123
7	PL17_123maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_123
7	PL17_123maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_123
7	PL17_123maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_123
7	PL17_123maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_123
7	PL17_123maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_123
8	PL17_124maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_124
8	PL17_124maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_124
8	PL17_124maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_124
8	PL17_124maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_124
8	PL17_124maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_124
8	PL17_124maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_124
9	PL17_126maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_126
9	PL17_126maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_126
9	PL17_126maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_126
9	PL17_126maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_126
9	PL17_126maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_126
9	PL17_126maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_126
10	PL17_127indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_127
10	PL17_127indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_127
10	PL17_127indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_127
10	PL17_127indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_127
10	PL17_127indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_127
10	PL17_127indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_127
11	PL17_128indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_128
11	PL17_128indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_128
11	PL17_128indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_128
11	PL17_128indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_128
11	PL17_128indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_128
11	PL17_128indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_128
12	PL17_132indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_132
12	PL17_132indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_132
12	PL17_132indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_132
12	PL17_132indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_132
12	PL17_132indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_132
12	PL17_132indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_132
13	PL17_89maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_89
13	PL17_89maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_89
13	PL17_89maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_89
13	PL17_89maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_89
13	PL17_89maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_89
13	PL17_89maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_89
14	PL17_95maybel	P1	0	indbel_pure	indbel_maybel	bel	maybel_PL17_95
14	PL17_95maybel	P2	1	maybel_pure	indbel_maybel	bel	maybel_PL17_95
14	PL17_95maybel	F1	0	F1	indbel_maybel	bel	maybel_PL17_95
14	PL17_95maybel	F2	0	F2	indbel_maybel	bel	maybel_PL17_95
14	PL17_95maybel	P1_bc	0	indbel_BC	indbel_maybel	bel	maybel_PL17_95
14	PL17_95maybel	P2_bc	0	maybel_BC	indbel_maybel	bel	maybel_PL17_95
15	PL17_97indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_97
15	PL17_97indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_97
15	PL17_97indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_97
15	PL17_97indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_97
15	PL17_97indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_97
15	PL17_97indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_97
16	PL17_99indbel	P1	1	indbel_pure	indbel_maybel	bel	indbel_PL17_99
16	PL17_99indbel	P2	0	maybel_pure	indbel_maybel	bel	indbel_PL17_99
16	PL17_99indbel	F1	0	F1	indbel_maybel	bel	indbel_PL17_99
16	PL17_99indbel	F2	0	F2	indbel_maybel	bel	indbel_PL17_99
16	PL17_99indbel	P1_bc	0	indbel_BC	indbel_maybel	bel	indbel_PL17_99
16	PL17_99indbel	P2_bc	0	maybel_BC	indbel_maybel	bel	indbel_PL17_99
1	PL17_100indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_100
1	PL17_100indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_100
1	PL17_100indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_100
1	PL17_100indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_100
1	PL17_100indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_100
1	PL17_100indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_100
2	PL17_104nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_104
2	PL17_104nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_104
2	PL17_104nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_104
2	PL17_104nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_104
2	PL17_104nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_104
2	PL17_104nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_104
3	PL17_106nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_106
3	PL17_106nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_106
3	PL17_106nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_106
3	PL17_106nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_106
3	PL17_106nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_106
3	PL17_106nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_106
4	PL17_111indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_111
4	PL17_111indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_111
4	PL17_111indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_111
4	PL17_111indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_111
4	PL17_111indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_111
4	PL17_111indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_111
5	PL17_108nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_108
5	PL17_108nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_108
5	PL17_108nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_108
5	PL17_108nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_108
5	PL17_108nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_108
5	PL17_108nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_108
6	PL17_112nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_112
6	PL17_112nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_112
6	PL17_112nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_112
6	PL17_112nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_112
6	PL17_112nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_112
6	PL17_112nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_112
7	PL17_127indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_127
7	PL17_127indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_127
7	PL17_127indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_127
7	PL17_127indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_127
7	PL17_127indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_127
7	PL17_127indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_127
8	PL17_128indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_128
8	PL17_128indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_128
8	PL17_128indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_128
8	PL17_128indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_128
8	PL17_128indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_128
8	PL17_128indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_128
9	PL17_132indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_132
9	PL17_132indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_132
9	PL17_132indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_132
9	PL17_132indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_132
9	PL17_132indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_132
9	PL17_132indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_132
10	PL17_87nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_87
10	PL17_87nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_87
10	PL17_87nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_87
10	PL17_87nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_87
10	PL17_87nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_87
10	PL17_87nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_87
11	PL17_91nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_91
11	PL17_91nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_91
11	PL17_91nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_91
11	PL17_91nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_91
11	PL17_91nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_91
11	PL17_91nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_91
12	PL17_93nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_93
12	PL17_93nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_93
12	PL17_93nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_93
12	PL17_93nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_93
12	PL17_93nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_93
12	PL17_93nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_93
13	PL17_96nigbel	P1	0	indbel_pure	indbel_nigbel	bel	nigbel_PL17_96
13	PL17_96nigbel	P2	1	nigbel_pure	indbel_nigbel	bel	nigbel_PL17_96
13	PL17_96nigbel	F1	0	F1	indbel_nigbel	bel	nigbel_PL17_96
13	PL17_96nigbel	F2	0	F2	indbel_nigbel	bel	nigbel_PL17_96
13	PL17_96nigbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	nigbel_PL17_96
13	PL17_96nigbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	nigbel_PL17_96
14	PL17_97indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_97
14	PL17_97indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_97
14	PL17_97indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_97
14	PL17_97indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_97
14	PL17_97indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_97
14	PL17_97indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_97
15	PL17_99indbel	P1	1	indbel_pure	indbel_nigbel	bel	indbel_PL17_99
15	PL17_99indbel	P2	0	nigbel_pure	indbel_nigbel	bel	indbel_PL17_99
15	PL17_99indbel	F1	0	F1	indbel_nigbel	bel	indbel_PL17_99
15	PL17_99indbel	F2	0	F2	indbel_nigbel	bel	indbel_PL17_99
15	PL17_99indbel	P1_bc	0	indbel_BC	indbel_nigbel	bel	indbel_PL17_99
15	PL17_99indbel	P2_bc	0	nigbel_BC	indbel_nigbel	bel	indbel_PL17_99
1	PL17_100indbel	P1	1	indbel_pure	indbel_puebel	bel	indbel_PL17_100
1	PL17_100indbel	P2	0	puebel_pure	indbel_puebel	bel	indbel_PL17_100
1	PL17_100indbel	F1	0	F1	indbel_puebel	bel	indbel_PL17_100
1	PL17_100indbel	F2	0	F2	indbel_puebel	bel	indbel_PL17_100
1	PL17_100indbel	P1_bc	0	indbel_BC	indbel_puebel	bel	indbel_PL17_100
1	PL17_100indbel	P2_bc	0	puebel_BC	indbel_puebel	bel	indbel_PL17_100
2	PL17_103puebel	P1	0	indbel_pure	indbel_puebel	bel	puebel_PL17_103
2	PL17_103puebel	P2	1	puebel_pure	indbel_puebel	bel	puebel_PL17_103
2	PL17_103puebel	F1	0	F1	indbel_puebel	bel	puebel_PL17_103
2	PL17_103puebel	F2	0	F2	indbel_puebel	bel	puebel_PL17_103
2	PL17_103puebel	P1_bc	0	indbel_BC	indbel_puebel	bel	puebel_PL17_103
2	PL17_103puebel	P2_bc	0	puebel_BC	indbel_puebel	bel	puebel_PL17_103
3	PL17_105puebel	P1	0	indbel_pure	indbel_puebel	bel	puebel_PL17_105
3	PL17_105puebel	P2	1	puebel_pure	indbel_puebel	bel	puebel_PL17_105
3	PL17_105puebel	F1	0	F1	indbel_puebel	bel	puebel_PL17_105
3	PL17_105puebel	F2	0	F2	indbel_puebel	bel	puebel_PL17_105
3	PL17_105puebel	P1_bc	0	indbel_BC	indbel_puebel	bel	puebel_PL17_105
3	PL17_105puebel	P2_bc	0	puebel_BC	indbel_puebel	bel	puebel_PL17_105
4	PL17_107puebel	P1	0	indbel_pure	indbel_puebel	bel	puebel_PL17_107
4	PL17_107puebel	P2	1	puebel_pure	indbel_puebel	bel	puebel_PL17_107
4	PL17_107puebel	F1	0	F1	indbel_puebel	bel	puebel_PL17_107
