indNR	IndivName	bin_generic	post_prob	bin	run	loc	ind_order
1	28384pueboc	P1	1	nigboc_pure	nigboc_pueboc	boc	pueboc_28384
1	28384pueboc	P2	0	pueboc_pure	nigboc_pueboc	boc	pueboc_28384
1	28384pueboc	F1	0	F1	nigboc_pueboc	boc	pueboc_28384
1	28384pueboc	F2	0	F2	nigboc_pueboc	boc	pueboc_28384
1	28384pueboc	P1_bc	0	nigboc_BC	nigboc_pueboc	boc	pueboc_28384
1	28384pueboc	P2_bc	0	pueboc_BC	nigboc_pueboc	boc	pueboc_28384
2	28385nigboc	P1	0	nigboc_pure	nigboc_pueboc	boc	nigboc_28385
2	28385nigboc	P2	1	pueboc_pure	nigboc_pueboc	boc	nigboc_28385
2	28385nigboc	F1	0	F1	nigboc_pueboc	boc	nigboc_28385
2	28385nigboc	F2	0	F2	nigboc_pueboc	boc	nigboc_28385
2	28385nigboc	P1_bc	0	nigboc_BC	nigboc_pueboc	boc	nigboc_28385
2	28385nigboc	P2_bc	0	pueboc_BC	nigboc_pueboc	boc	nigboc_28385
3	28386nigboc	P1	0	nigboc_pure	nigboc_pueboc	boc	nigboc_28386
3	28386nigboc	P2	1	pueboc_pure	nigboc_pueboc	boc	nigboc_28386
3	28386nigboc	F1	0	F1	nigboc_pueboc	boc	nigboc_28386
3	28386nigboc	F2	0	F2	nigboc_pueboc	boc	nigboc_28386
3	28386nigboc	P1_bc	0	nigboc_BC	nigboc_pueboc	boc	nigboc_28386
3	28386nigboc	P2_bc	0	pueboc_BC	nigboc_pueboc	boc	nigboc_28386
4	28387nigboc	P1	0	nigboc_pure	nigboc_pueboc	boc	nigboc_28387
4	28387nigboc	P2	1	pueboc_pure	nigboc_pueboc	boc	nigboc_28387
4	28387nigboc	F1	0	F1	nigboc_pueboc	boc	nigboc_28387
4	28387nigboc	F2	0	F2	nigboc_pueboc	boc	nigboc_28387
4	28387nigboc	P1_bc	0	nigboc_BC	nigboc_pueboc	boc	nigboc_28387
4	28387nigboc	P2_bc	0	pueboc_BC	nigboc_pueboc	boc	nigboc_28387
5	28390nigboc	P1	0	nigboc_pure	nigboc_pueboc	boc	nigboc_28390
5	28390nigboc	P2	1	pueboc_pure	nigboc_pueboc	boc	nigboc_28390
5	28390nigboc	F1	0	F1	nigboc_pueboc	boc	nigboc_28390
5	28390nigboc	F2	0	F2	nigboc_pueboc	boc	nigboc_28390
5	28390nigboc	P1_bc	0	nigboc_BC	nigboc_pueboc	boc	nigboc_28390
5	28390nigboc	P2_bc	0	pueboc_BC	nigboc_pueboc	boc	nigboc_28390
6	28394nigboc	P1	0	nigboc_pure	nigboc_pueboc	boc	nigboc_28394
6	28394nigboc	P2	1	pueboc_pure	nigboc_pueboc	boc	nigboc_28394
