indNR	IndivName	bin_generic	post_prob	bin	run	loc	ind_order
1	PL17_37chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_37
1	PL17_37chlpue	P2	1	puepue_pure	chlpue_puepue	pue	chlpue_PL17_37
1	PL17_37chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_37
1	PL17_37chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_37
1	PL17_37chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_37
1	PL17_37chlpue	P2_bc	0	puepue_BC	chlpue_puepue	pue	chlpue_PL17_37
2	PL17_38chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_38
2	PL17_38chlpue	P2	1	puepue_pure	chlpue_puepue	pue	chlpue_PL17_38
2	PL17_38chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_38
2	PL17_38chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_38
2	PL17_38chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_38
2	PL17_38chlpue	P2_bc	0	puepue_BC	chlpue_puepue	pue	chlpue_PL17_38
3	PL17_39chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_39
3	PL17_39chlpue	P2	1	puepue_pure	chlpue_puepue	pue	chlpue_PL17_39
3	PL17_39chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_39
3	PL17_39chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_39
3	PL17_39chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_39
3	PL17_39chlpue	P2_bc	0	puepue_BC	chlpue_puepue	pue	chlpue_PL17_39
4	PL17_40chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_40
4	PL17_40chlpue	P2	0.98987	puepue_pure	chlpue_puepue	pue	chlpue_PL17_40
4	PL17_40chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_40
4	PL17_40chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_40
4	PL17_40chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_40
4	PL17_40chlpue	P2_bc	0.01013	puepue_BC	chlpue_puepue	pue	chlpue_PL17_40
5	PL17_41chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_41
5	PL17_41chlpue	P2	1	puepue_pure	chlpue_puepue	pue	chlpue_PL17_41
5	PL17_41chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_41
5	PL17_41chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_41
5	PL17_41chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_41
5	PL17_41chlpue	P2_bc	0	puepue_BC	chlpue_puepue	pue	chlpue_PL17_41
6	PL17_42chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_42
6	PL17_42chlpue	P2	1	puepue_pure	chlpue_puepue	pue	chlpue_PL17_42
6	PL17_42chlpue	F1	0	F1	chlpue_puepue	pue	chlpue_PL17_42
6	PL17_42chlpue	F2	0	F2	chlpue_puepue	pue	chlpue_PL17_42
6	PL17_42chlpue	P1_bc	0	chlpue_BC	chlpue_puepue	pue	chlpue_PL17_42
6	PL17_42chlpue	P2_bc	0	puepue_BC	chlpue_puepue	pue	chlpue_PL17_42
7	PL17_43chlpue	P1	0	chlpue_pure	chlpue_puepue	pue	chlpue_PL17_43
