PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
20427.2466087929;-7883.11283433973;3818.4873298538;-5932.5793984504;2002.39169432403;6177.76190566826;-861.243570449738;102.979483587224;-3469.2540165544;-3165.16779084388;2091.40512589384;-961.250488150935;-1732.11477538468;-394.063830252422;1880.04408832565;"PL17_139pueflo-l1-s4-f4-c2-d1.png";"PL17_139pueflo";"flo";"pue";"PL17_139pueflo-l1-s4-f4-c2-d1"
3829.13722025457;4300.68223063283;-7075.71270759579;-5732.27658021708;3598.72413179939;-2450.3445055889;755.053636192468;-2342.48375101382;-215.101551953617;402.584351237448;-352.765891928967;-1802.86361833752;-53.2665267099727;1383.70811756899;779.911769533068;"PL17_160pueflo-l1-s4-f4-c2-d1.png";"PL17_160pueflo";"flo";"pue";"PL17_160pueflo-l1-s4-f4-c2-d1"
-10820.7164026877;-8933.24254753659;46.0982354404384;-7396.03694758953;6081.74262722072;-1667.49332471772;1241.84101993918;-4732.44176621849;-21.0462041588219;-1133.12150741363;-763.962486873318;-1832.50181979325;-1402.19576473998;1130.55659282413;71.727111442412;"PL17_157pueflo-l1-s4-f4-c2-d1.png";"PL17_157pueflo";"flo";"pue";"PL17_157pueflo-l1-s4-f4-c2-d1"
35547.3029781507;-559.597181161924;-5712.58460588622;6607.44397880396;-11111.4084178807;493.286663728938;8733.87829242733;-1135.50756354146;-685.159758364149;2088.46643544236;2082.97501544416;136.666867045216;-349.110283194402;943.315857784421;3303.24888946417;"PL17_74unipor-l1-s3-f3-c2-d1.png";"PL17_74unipor";"por";"uni";"PL17_74unipor-l1-s3-f3-c2-d1"
46456.5834077482;10738.3008958577;-19804.1814634624;433.200401784538;-351.508822314475;802.375760364146;-5591.31687586832;7041.01223465069;-1514.43395832475;2014.12732256313;-3285.91075933847;-301.434275686628;-827.12698454133;5076.92547364759;3125.60506179712;"PL17_04pueboc-l1-s2-f1-c2-d0.png";"PL17_04pueboc";"boc";"pue";"PL17_04pueboc-l1-s2-f1-c2-d0"
29537.6605555244;-6902.16532021428;-7344.31147183753;-4506.49796140846;4391.46767420654;2643.78166798322;2493.82136031189;-2530.51000748837;-3371.39868738471;-87.8573902637004;357.598671922563;1663.01890823802;2344.17554974668;-1515.06885640935;-551.899656881005;"PL17_110puebel-l1-s4-f4-c2-d1.png";"PL17_110puebel";"bel";"pue";"PL17_110puebel-l1-s4-f4-c2-d1"
21993.166525544;-25663.9197261084;8600.29536654224;-2622.57354967214;4243.82421175494;-15273.8036146746;5847.4768660887;-424.937814403116;-1117.40047623162;-307.19555304694;-1082.35051626614;-5203.24542372557;-1428.80524871267;1611.32835932563;-2477.03653962404;"PL17_70unipor-l1-s3-f3-c2-d1.png";"PL17_70unipor";"por";"uni";"PL17_70unipor-l1-s3-f3-c2-d1"
-29044.558060186;-2738.59793492839;989.803229939358;5322.84404766037;66.9132471943092;2898.00071149711;-558.496211928305;-1138.77208784366;-583.740135245895;43.7558023105214;-444.371924449293;685.542534828627;192.235375836414;503.862015836274;360.02052955586;"PL17_123maybel-l1-s4-f4-c2-d1.png";"PL17_123maybel";"bel";"may";"PL17_123maybel-l1-s4-f4-c2-d1"
-25392.9722559893;114.878333096865;-795.473391142308;-4443.83085811238;-3118.84270847336;2097.58742941001;-859.538906553487;-572.068946190499;1581.42441715427;-860.050990020958;-959.950165881694;165.237905641941;-878.243615342795;-57.0667260349736;483.105103134372;"28394nigboc-l1-s1-f1-c2-d0.png";"28394nigboc";"boc";"nig";"28394nigboc-l1-s1-f1-c2-d0"
-1001.44736157802;10596.5586273738;7368.32062933099;-976.733128405341;2206.68005414683;-8561.2764814126;2025.95326828808;-1034.11360438787;-1234.0018891457;4498.49818569239;-1859.6412186159;2612.15078261145;-1543.63333416725;-57.1550204889789;-1814.81699556538;"PL17_39chlpor-l1-s3-f3-c2-d1.png";"PL17_39chlpor";"por";"chl";"PL17_39chlpor-l1-s3-f3-c2-d1"
-17216.5215554667;-6185.84420056325;-2784.69246698503;-3788.12768726627;-2264.53868809637;-241.793248301478;-2220.0947475071;2416.29610955842;1015.97688381137;397.112383267325;-1383.59066442756;-378.621487524393;-1281.06711782409;502.557354019712;-943.05573232312;"PL17_093nigbel-l1-s4-f4-c2-d1.png";"PL17_093nigbel";"bel";"nig";"PL17_093nigbel-l1-s4-f4-c2-d1"
-22451.925773875;-3155.12230741175;-1312.53171273774;-2254.27419697827;-2289.25668344998;2580.44242493206;-1556.20787586949;926.733262774311;771.76841829957;-41.3274781226397;-626.038718566385;41.0173228029764;-1211.73566402176;569.851199212196;-307.804516627389;"PL17_112nigbel-l1-s4-f4-c2-d1.png";"PL17_112nigbel";"bel";"nig";"PL17_112nigbel-l1-s4-f4-c2-d1"
-2713.51480120955;7251.83381847224;3465.03789799926;-6442.63420743268;-3609.30773861346;5645.345766019;-206.982963353357;4826.2907125587;-6673.59202756973;-1619.71238836545;-1278.62028868116;152.518993589946;148.42318785644;-119.222184857354;-547.572026606142;"28366gumboc-l1-s2-f1-c2-d1.png";"28366gumboc";"boc";"gum";"28366gumboc-l1-s2-f1-c2-d1"
-705.896470925865;-18443.6500887815;5582.30121840144;-8522.01223615732;-1409.67737504234;-8475.25443590819;259.301571587053;-1714.42244490434;-694.131737340876;1107.82135762206;2703.89370252846;663.177901797089;-544.102067395542;-49.9677145682893;2370.34276186326;"PL17_141uniflo-l1-s4-f4-c2-d1.png";"PL17_141uniflo";"flo";"uni";"PL17_141uniflo-l1-s4-f4-c2-d1"
4129.57356822858;25635.9574125185;1883.66258330277;1860.84794592394;-3019.66546955196;-6571.13055888728;353.107359332774;-3812.49622556663;3011.73593650069;-270.225336636913;1947.64248430829;-56.0338452229912;649.588446599667;1476.40462026264;-3149.964904565;"PL17_62puepor-l1-s3-f3-c2-d1.png";"PL17_62puepor";"por";"pue";"PL17_62puepor-l1-s3-f3-c2-d1"
-22260.6997282667;-2719.5086371683;-1976.36085046029;-4106.97100103113;-2724.13085289246;2504.36081989332;-1776.20622885727;2390.92084922605;-108.187526179909;-517.532882665183;-1888.64164228137;-789.14314623682;-784.239740674485;678.410489663145;-792.753447602365;"PL17_108nigbel-l1-s4-f4-c2-d1.png";"PL17_108nigbel";"bel";"nig";"PL17_108nigbel-l1-s4-f4-c2-d1"
13435.2354819283;-1785.14012647067;5465.63710250212;-1989.43436923928;-4408.9104051693;-4173.07536476453;-2717.29443937657;467.768291812389;898.547074355426;-5794.49059585745;2117.18864569304;-2548.52911168741;78.9853278554981;39.2335131667041;-1714.17751554244;"PL17_66unipor-l1-s3-f3-c2-d1.png";"PL17_66unipor";"por";"uni";"PL17_66unipor-l1-s3-f3-c2-d1"
