PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
45120.9385815878;-1374.29870042769;5758.7071714401;12073.3414339767;-2917.34948852964;-6975.35124706116;1594.35091930087;2723.67849308578;2664.69092149152;43.3951767846584;-2989.20473472358;-4774.74196665592;922.548921885174;-2631.52126918497;-2556.06824025255;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
-14297.9700899505;3824.55643368985;-608.633390570583;-1764.9224725687;1794.83039101176;-168.282876577124;-2802.75478911485;-476.028824366129;3399.49239916846;-2135.15975390329;-3474.82917278132;894.899904770842;-2089.32909656287;101.218714759343;1599.68540782565;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
16405.3776800923;-13649.929018172;209.200159466395;1534.02491388924;-4415.40585509566;-2338.01733128075;-2007.05106941927;393.351070980209;692.605092285891;248.679331924929;-290.915640246161;1651.12322050549;444.553979576787;-19.1069288135032;263.702466332363;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
16679.2725572534;-4355.64092271711;9500.76764674533;-4331.42615567645;4101.20577596442;-5652.72951207383;3009.78577012943;-1230.34054740572;-699.697538657865;-1902.93776253959;535.138925755058;1008.27269718557;700.613746989668;-1197.34107498602;311.241280453476;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
-974.612124188913;2098.59406864417;-6235.74154599632;-6148.54510076144;952.562423682281;2222.70662334355;-2458.08952960962;-2519.22199867695;-1769.50215026165;833.333372547924;118.863200265715;-648.507928045835;-450.926674153949;-966.299358984685;-542.970265104313;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
32954.5882924993;-218.493739340489;-5629.603329843;10569.1123021736;-6414.64240807545;-3896.79963148714;-6230.30894704784;-912.439077671268;333.49101717201;-1634.5541096518;2291.0304498567;3658.62985756095;872.632765127472;3257.26225876743;-465.711699751236;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
40802.2541162752;795.93071262646;-21545.5370998407;782.264761097381;1920.41687004812;-945.858817367373;3272.40381685624;2577.33971099946;-2222.13885319351;375.197058157158;-2154.58741396571;-701.584107974799;-767.949645428439;373.051862693443;-863.905170578167;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
-2972.28933835707;-1310.58561907842;-2532.71011019266;-8542.13771451902;4718.01626533235;13.79675837863;-4456.64301642979;1222.7407028552;4647.94298799627;-2919.95094545532;-3313.13150567404;2411.40456839248;-1649.62196030628;186.659268242957;-3914.54216792965;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
25541.6124035779;-7299.34481454437;-1667.53675929084;-4855.41151326391;3321.74817348734;-3358.66869064101;-2689.74284996982;-2264.38112778281;-2467.14854970767;1984.4302451563;742.026653403055;1474.00346618839;-2429.74004076386;1692.93177139458;-2326.79712695198;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
20241.5994791882;-16634.56573477;19646.8915555424;-8125.90274171498;-6281.61321644177;14186.2801992064;-7705.37889622217;-722.420404312589;-2093.15025719157;-3372.55176001511;1668.25920794943;560.13328868137;721.397342777515;-3775.46879782011;-2865.04343394712;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
32428.0729728076;-21327.5069529137;-5084.24094681394;5218.30454431362;-9846.88057505272;-1398.57939284181;-4077.03908185175;5151.56022370866;-1514.86755660167;1235.42240709336;-456.37067776316;-271.120669641109;-100.354421700175;-198.467957032505;-553.360723218197;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
-26109.0570897371;-2363.35409954338;2138.52470449257;-1991.65388330976;-3284.83482136382;-5721.30650386408;823.648157279636;157.721830760616;-905.878408785941;901.573183149737;-1158.48561594499;-711.983516616983;-447.334422482958;-1518.29433436047;-1513.79953405824;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
14566.6969364281;-20861.0339119598;-7161.92290475526;3499.82946028309;-9346.94000082587;-807.504650302508;570.417165819926;695.967994221652;1071.00584526699;125.565828424775;-828.019454591548;3450.51156304501;1825.59695012608;-2563.5638550478;16.7440556791748;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
-25964.1290877993;-2074.11022678156;1335.76890956606;-1788.77318235414;-3540.63610254449;-5133.73653621973;934.959782684895;-1001.64927935478;-202.386948988476;523.03457842587;-2.31796757392536;-531.137137651087;576.31120422547;-72.7671091484302;-485.31888109873;28394nigboc-l1-s1-f1-c2-d0.png;28394nigboc;boc;nig;28394nigboc-l1-s1-f1-c2-d0
-4445.77521359691;12737.9711237463;1802.58171809769;-3097.8049625264;-3656.62821939755;6892.55270603347;-3039.14411756022;1463.08245657956;-2900.38254902333;1270.92487493646;-2833.36475222728;19.8121679752937;-192.087486351469;-442.380691340607;2354.05638250164;PL17_39chlpor-l1-s3-f3-c2-d1.png;PL17_39chlpue;pue;chl;PL17_39chlpor-l1-s3-f3-c2-d1
-21776.9824950995;-6920.28197769852;3185.52086463979;-4289.85697309378;-3882.07371715009;-623.196157355025;1687.27058599845;-470.88767400229;188.687589376377;1426.55575906349;-1028.83197464301;-171.180120066348;879.874553714641;-104.548349375762;-565.864643760246;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
-26268.8193340517;-3303.411677208;2250.40764053785;-2049.23103533708;-3428.24625919217;-5356.42017277213;1003.51769928654;-1024.31798079446;-368.615316239313;848.602661386086;-707.483350297955;145.623563508516;1027.50317977299;28.7175721827543;21.5580556766003;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
-6428.36975507576;8588.30832242605;2060.39875752574;2225.24272505033;-620.616121793787;-5399.43747772989;2957.4476164138;1485.06407437339;-1849.59950068512;-3629.33373376259;-434.267423741694;-1249.47355098119;1094.80771690816;-509.416469645422;1303.51309731878;28366gumboc-l1-s2-f1-c2-d1.png;28366gumboc;boc;gum;28366gumboc-l1-s2-f1-c2-d1
-1701.53096164898;24498.9972240397;-8875.09718641375;3211.23472263647;-4616.3218841186;6193.63767714498;592.222262865729;-1529.36247557375;-936.263717296668;-172.654803276918;-414.898687263958;-561.740762187288;-255.61499666943;-2694.78536933685;-20.2347650888727;PL17_62puepor-l1-s3-f3-c2-d1.png;PL17_62chlpue;pue;chl;PL17_62puepor-l1-s3-f3-c2-d1
-26285.6068866363;-3114.89440270647;2138.12568761929;-2130.60539936263;-3349.88343505223;-5344.43263329107;942.980447863347;-910.633872512826;-234.534311863585;619.03732731015;-580.715984884445;-453.43528136876;904.295172296716;271.684650120057;-256.781219488152;PL17_108nigbel-l1-s4-f4-c2-d1.png;PL17_108nigbel;bel;nig;PL17_108nigbel-l1-s4-f4-c2-d1
9678.17748285225;2115.75596445662;6611.96924794968;931.606259821331;-4566.71890351014;3517.14353980251;4881.72664026707;-595.196382641131;1496.7286706429;-4329.64701439359;2156.87352348537;1056.06952763202;22.1660408812335;-1025.88604698067;1986.48680305114;PL17_66unipor-l1-s3-f3-c2-d1.png;PL17_66unipue;pue;uni;PL17_66unipor-l1-s3-f3-c2-d1
37828.4388054232;-16600.6798475171;-10070.1445230705;-14065.7307331086;8977.60288867775;794.053614182981;5358.97413888244;2590.78726591028;-2539.44367109635;-3401.93479882329;420.696063424297;-1942.4492746616;1472.12796415215;3297.78645473126;2666.08670295825;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
-18883.6819145444;-4841.29898788257;-1989.36026559597;11110.1462537595;10620.7816762374;6497.43290880738;-199.112993002738;-675.380949782097;-893.091809394705;-863.864030269129;513.919593314004;-644.782233269768;403.263620790884;318.104843017001;-770.790693046596;PL17_089maybel-l3-s4-f4-c2-d1.png;PL17_89maybel;bel;may;PL17_089maybel-l3-s4-f4-c2-d1
-1748.49602778589;13331.5112267288;7991.44353799199;-1438.65625423633;-4976.02421015243;5665.70993472785;-2105.5894679874;7741.60782231576;-5254.78218780761;-7344.93251972978;-2621.4585423431;-1505.47315557187;2691.76643042187;-2228.15699906027;1946.89003950392;PL17_68gutpor-l1-s3-f3-c2-d1.png;PL17_68gutpue;pue;gut;PL17_68gutpor-l1-s3-f3-c2-d1
25722.5755197489;17316.0071294457;5951.01087019069;7907.14022676234;-3506.99219307651;82.4729541074684;2755.1308910691;-2210.98703436537;640.854769380446;-4623.38500212773;2615.60678493039;2581.71588346879;-46.1602989720598;-1457.22701250578;-294.155508276246;PL17_55unipor-l1-s3-f3-c2-d1.png;PL17_55unipue;pue;uni;PL17_55unipor-l1-s3-f3-c2-d1
