PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-12492.2782277291;2074.98418250056;-1641.24056692032;2759.95207486747;2868.08814124721;-625.297937695761;-4135.28274032672;-2711.72940684218;958.371440373539;-4340.644971316;765.054956030052;-883.172073952525;-2175.79738485254;-169.525758541933;1378.14018486485;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
17703.5031341483;-2886.59049536038;7200.79210763711;-6354.83447449255;3131.62898842963;-6251.41108333879;2304.56198332501;2398.33782109704;-1447.47381916962;-1184.51157194655;2993.14500745913;-325.244437742966;-69.261895405679;-1391.06699071645;-860.616608880004;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
267.154176428035;2282.78050872338;-7748.35475583011;-5821.36940886779;2905.99940006597;1909.15230546608;-2107.63177337164;530.070202542023;-1806.91649135697;236.956542041202;-1196.98095273057;-1738.73035670399;-350.906258618016;-276.034353881897;-148.398248367012;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
42103.3666000999;2644.47968801489;-23157.1434537115;2854.57273830717;1738.80592520274;-1611.58777645404;5449.36432220993;1429.11420779428;6323.77696745282;-2458.46255574325;-4725.56808495075;-2694.33135396245;-1636.20697283751;-995.674518640208;-4505.3901017424;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
-1934.39453547163;-3097.26411327774;-2588.82860929915;2508.03064011987;10222.7124638496;1579.5217745585;-4946.86380607945;-3989.64112079532;718.829883910248;-3338.06201327265;3768.54241161813;2534.25517153995;-2831.08430684016;2217.08490746154;454.518434377255;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
26616.3410470956;-6279.58248986598;-3532.1627748788;-4659.5607117787;5472.37579388167;-3074.27167072189;-2330.38646064685;3224.76083874615;-2814.72352644356;288.620783367044;-1609.01108983149;-1311.73636076247;-1065.71481571278;1368.0810972931;1017.84764463979;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
40415.7891203476;-16398.0186192548;-11161.9318847321;-9691.66447565034;14895.489700956;-1716.29071996038;7391.87504765316;3300.84617813807;1075.27826656428;2020.87927363003;2716.2293417382;1242.32160134704;2680.41650835355;1213.72072968323;670.390628873002;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
-23641.2269374374;3764.90545899202;5297.85964347395;-5429.79648755479;1910.7773477804;-1762.54631579453;-2543.31785922864;-2162.44955684849;1581.87869263362;747.572124570118;505.004521995551;1057.73249041406;433.653345847805;405.398764670029;-814.79634990355;PL17_85indpor-l1-s3-f4-c2-d1.png;PL17_85indpue;pue;ind;PL17_85indpor-l1-s3-f4-c2-d1
-10583.5508125493;-2095.13897781071;1675.01275805888;-2064.85763323987;4215.04231194551;95.5997130067146;-4305.94728889699;-3118.0805113882;3032.40386273185;-2499.08896722682;-459.241785903928;-1333.64891635709;780.964125869059;-533.035816103301;175.979211736221;PL17_100indbel-l4-s4-f4-c2-d1.png;PL17_100indbel;bel;ind;PL17_100indbel-l4-s4-f4-c2-d1
30478.1267606453;-9386.57167093025;-21219.6799222111;-5262.43669044169;13639.2296793265;-847.175856049618;1829.54230103834;-325.728775156648;774.677522315013;3498.20612593922;1837.23596616198;1089.93854795856;-1813.17636155136;2445.47609053101;-948.320139965722;PL17_103puebel-l1-s4-f4-c2-d1.png;PL17_103puebel;bel;pue;PL17_103puebel-l1-s4-f4-c2-d1
-2561.97498623631;-2178.39283102981;1696.14817386161;5962.32814554073;9503.33223577737;-1147.33891299793;-7541.26505269711;-2557.66899343107;2293.48056196559;-3578.55352199647;-899.45281955135;299.82771379992;485.905277499641;64.4585700125821;296.912933335565;PL17_111indbel-l1-s4-f4-c2-d1.png;PL17_111indbel;bel;ind;PL17_111indbel-l1-s4-f4-c2-d1
5374.22314727596;-9630.99152748918;-8307.1931818411;-8555.67434402903;4608.00313100644;-2450.88484439937;1350.98906903259;-251.847323700447;-1833.60499777303;-315.60990151406;5023.27390296776;459.024811943879;-3154.43135997184;2393.01491246018;331.539633456109;PL17_159pueflo-l5-s4-f4-c2-d1.png;PL17_159pueflo;flo;pue;PL17_159pueflo-l5-s4-f4-c2-d1
26976.2371808732;-11361.813064868;-5624.22024710637;-8045.31878016611;11772.2244030674;6127.81787142323;11166.4891824232;-3597.14817137085;-3358.65760412169;-3298.85847467263;2170.46866959433;5949.87346323275;3646.4845410351;-642.422564917708;5902.75980250307;PL17_105puebel-l3-s4-f4-c2-d1.png;PL17_105puebel;bel;pue;PL17_105puebel-l3-s4-f4-c2-d1
13881.2515347669;-692.916155028864;3691.22090466574;-5111.63612440633;8024.22875499808;-10041.0971719966;-612.050676945751;1278.25551872157;-1380.00280530454;256.456900075355;-3484.45244158291;-712.591059483899;400.373010876975;-2373.74125226116;1200.14962020104;PL17_090puebel-l1-s4-f4-c2-d1.png;PL17_90puebel;bel;pue;PL17_090puebel-l1-s4-f4-c2-d1
31460.2509213264;2472.05249757298;-20019.4564155054;1506.9138835529;6862.74059051129;2157.2265164795;6113.62002995501;977.58042161083;5713.95255836773;-3305.01814421591;-2485.64254796127;-2049.80664303255;-1830.30400773929;-1377.9695767526;-3845.12155972859;PL17_05pueboc-l1-s2-f1-c2-d0.png;PL17_05pueboc;boc;pue;PL17_05pueboc-l1-s2-f1-c2-d0
