PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-9974.5672519642;-3794.43556108702;-6072.88810608101;-4939.17438544381;-4211.15305392584;2375.14735916427;-1115.88201736129;-1264.89909794559;-2479.0072877778;1093.93691940358;-1309.25841921169;-923.361674319748;849.459377327766;129.814679404931;-684.833247430034;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
21572.7976897466;-336.750747267063;9621.63173847605;-2637.28169449092;2500.44354309063;858.102931789256;-1049.41499651484;1432.96213922036;-1714.03419620221;-1035.92230056603;-1247.98567869837;-519.801305882858;-489.232254148692;313.843555769059;-2152.96890573055;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
20353.6931588038;-4505.50335092234;-3591.73645829445;-4889.70458676338;12656.9408360339;1824.7634422282;1760.5566327217;3137.47150331841;-4742.95197377721;-1453.63268549645;-1572.87803689234;-541.549842166915;-3812.71760400711;888.225978937365;-489.802419720333;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
5285.54843126338;-7618.9640720723;-6403.84216073216;-2392.95470244975;-6280.91588341843;333.568512742368;4222.09104068578;-421.718528285131;2411.62053612015;-1434.75996693449;2432.97187322006;-591.720916833425;-1731.23044206382;-138.535495985005;854.210659853918;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
1179.8892056975;1625.77879455497;-9184.20197417984;-599.767666412517;-3770.12627893781;6092.33475547406;-5914.88657855703;3279.85705510061;-478.950177586866;-3289.57190022328;-381.322039037995;1241.11808657309;1886.46040720185;-3996.86176557613;-1476.95340177216;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
30371.514732616;1007.22985618197;-5453.08488118944;-4015.37953132067;3739.80884271293;-679.278952415127;-240.585260743438;-754.999664705718;5179.77590071439;-1644.06907988032;-4025.18013600405;-1470.42261161347;378.145951651467;-3968.91465024862;-1731.86481992614;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
38259.4450719426;5472.61451672129;16402.1540424237;-4915.51255492499;-1128.12244084603;32.8578363231634;-728.324726831124;-2909.56089255774;-1181.5125922113;-2190.34845689234;-1644.88823900137;2536.33525058964;1191.58159998934;-1094.72094439788;-136.344157741815;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
-19683.7664171761;-13405.675785758;2650.54560000063;2116.81065749977;872.351404199885;-2496.82745269487;-152.95472397484;-879.837165274178;167.831372662178;-457.411415395021;-1015.24006734061;753.529166601652;1208.88210549098;252.23766167077;-294.382644957902;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
21513.8302298785;2826.76532826577;15867.0469460104;1862.1159270608;-5243.18287441739;-1987.06668910051;-340.105917324807;1310.38048600242;-4276.41913809669;-483.203822821159;-728.134730161991;-129.634805803567;-973.155621561776;-875.647232257792;-776.264609308618;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
-14535.0042022743;-9694.44477585166;5287.61499870049;4764.25721998744;161.286270791392;809.218650966629;-522.780792161554;-915.809222415877;470.137643017271;-286.92113669399;-87.7245879831691;1074.85759777849;-775.351813474107;-356.819769951752;-475.479641891341;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
-20391.4486970947;-10374.643026636;3313.74407198119;3099.42791950348;411.435519244377;-1312.12143831198;-134.765549589244;544.216444679976;-524.54776630923;-439.613937803553;520.397191850186;-121.71600420345;42.6211150820337;-354.895325603071;-207.078876563663;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
-19832.271619213;-12248.1816431644;3302.1016089213;3641.4596486333;40.9861897808831;-1650.32093774415;114.557886062012;-808.290258479386;69.8701098930095;-166.223500206865;-1047.97437707055;782.101199640457;389.339337450484;-42.8749798361512;-206.85069164988;PL17_108nigbel-l1-s4-f4-c2-d1.png;PL17_108nigbel;bel;nig;PL17_108nigbel-l1-s4-f4-c2-d1
47342.7386833357;5385.88350643483;-8296.6639775207;12991.422317211;3618.118837104;-2487.07984884769;-1271.24915080617;-4357.4369453664;634.447136045868;-247.968581408996;-1202.79148010804;1002.46914646147;-815.7760735959;4020.46650694443;-1794.02904804136;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
