PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
51622.2333922994;-821.986902596603;6754.67856363767;-80.3850700613855;-8609.5543871962;-722.806498416971;3153.77080301661;252.429151266324;4187.84950994868;-526.167883525263;229.097754468372;-1849.426563124;-3639.41932539305;1348.06292918315;-1729.76682120442;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
21070.4744433899;-11031.7258040755;-9551.1693969609;-3673.12542778959;-1393.63605912487;1698.31584177922;-739.333331363458;1213.77890902462;-252.458848127252;-1741.75559803486;-1756.38959596214;-366.027803464693;959.627482626948;101.597066256395;-826.414798625006;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
36790.2023245512;-2053.63848306866;5046.85815423922;-10705.02655685;-2796.43826706884;5280.45513135395;-2282.30671653238;136.053645174453;-3653.10467791474;722.522111125293;151.435012631523;2616.00826945081;-1709.94809282402;-1784.27136421299;-512.162124175852;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
25669.4649566813;-13162.3495909742;-12430.4286131128;17102.6570094287;15630.8782739726;7812.61957999115;-2381.08919657315;1292.4814629953;-689.677284190875;5084.49447314562;5269.85406895877;-780.052712278642;-3875.75438752119;-1660.02393858922;-2959.66379083014;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
37736.6556315378;-17408.2457515371;-11048.1418059027;-11071.4075430167;489.747208207266;2470.79368780457;2156.64113181868;-1948.39542770433;731.821916001721;-1604.88402462717;-1140.92537476546;1265.3942369796;-1416.47424903991;-674.625760288976;1283.81490890175;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
-20785.9201091161;-269.304705625958;-6235.023428452;1334.98996666055;-5416.38096577897;-745.496641308142;2623.87985541746;463.598161957945;957.013101925684;2796.16413715458;40.7029263706834;2288.96341288805;-1115.04723919903;123.91469213252;2284.76735035277;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
19569.1555004455;-17343.4518509294;-9545.42833252657;-12074.1656612642;770.919362232271;-1931.37947707486;566.169411371625;2965.15078623927;-348.205885116311;-2653.13796100021;-1412.79344223736;966.068896947167;-236.746980478983;383.75565404528;-2361.48328487962;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
-24603.5774952724;820.949187127556;-5961.92145885872;422.715372409206;-3755.95122779691;-1664.5739015321;-1648.00417638099;-185.373769264428;-55.2193474198431;291.005452788171;-781.526893511879;-1013.65671959623;-877.1625837979;-422.07268103174;177.163562845343;28394nigboc-l1-s1-f1-c2-d0.png;28394nigboc;boc;nig;28394nigboc-l1-s1-f1-c2-d0
-800.805607382382;14067.8287327875;1087.34883744753;1633.24838994206;8227.44456217108;4876.78296089896;-2265.80212715532;-4122.88256960105;2114.66994423946;1218.16891723128;-3595.7246892396;2706.72682002489;690.753861277792;1477.67264656827;1261.19183993923;PL17_39chlpor-l1-s3-f3-c2-d1.png;PL17_39chlpue;pue;chl;PL17_39chlpor-l1-s3-f3-c2-d1
-15898.549824708;-4751.10657012875;-6969.86020611163;1182.11972387278;-799.428360365418;-2076.94484111577;1538.78607428678;521.770853799094;1448.55164413863;1443.86824562721;42.6585379356127;1986.19888518047;37.03330552415;-551.116107875812;-967.537346838458;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
-21199.1190186337;-2359.61120267091;-4487.30403451928;1618.13282533671;-3549.0955942132;-1689.96195963099;-129.755855883494;532.587836710467;402.280021614998;791.373674467133;-740.875883389073;892.787969766259;-360.401649187801;-716.430624171884;-277.940149430557;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
