PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-5152.31563165308;-11942.3521865738;-2262.47431195325;-4948.97759877983;311.737203596982;443.881660671663;7188.39419449175;-2084.78454749995;-1861.23110977615;590.167075254534;980.199468341335;1828.32723102363;1372.59380936147;784.481688270116;1422.52035244773;PL17_088abebel-l3-s4-f4-c2-d1.png;PL17_88abebel;bel;abe;PL17_088abebel-l3-s4-f4-c2-d1
-28405.1769680585;13020.8411062964;115.965400497789;1751.57161776343;-3198.11995237055;2348.2210217248;1565.81585129682;-430.167510666501;-1488.22000484794;-1827.35332028837;-2185.82218583708;3031.64950104334;-3221.79061692227;-2033.31694466815;592.460363409015;PL17_095maybel-l11-s4-f4-c2-d1.png;PL17_95maybel;bel;may;PL17_095maybel-l11-s4-f4-c2-d1
-26382.3959994871;6003.59434917463;1513.90384407937;2418.20589180295;-3218.68202413507;777.815725760596;1184.25646656318;-299.13600041587;-1627.619694272;-1386.6966035346;-2189.96395453868;2515.96358075599;-2135.05868476788;-1041.68520900616;-163.07519510651;PL17_123maybel-l3-s4-f4-c2-d1.png;PL17_123maybel;bel;may;PL17_123maybel-l3-s4-f4-c2-d1
42140.6138955904;7381.8684920116;-12309.322786269;11938.6421369915;7258.36045031246;-6727.20942366234;-1338.66452081818;-4692.72898630489;-2.87077169560204;-586.36442746368;-1609.81718400346;-2485.77893160565;-1034.03664120682;-2799.37448111248;-2811.79691476267;PL17_103puebel-l1-s4-f4-c2-d1.png;PL17_103puebel;bel;pue;PL17_103puebel-l1-s4-f4-c2-d1
23799.046823842;1977.13198065332;16724.7376522834;2891.60735039888;4851.61409925726;-2266.02974303726;-675.265117034863;653.072610705277;3801.04963809338;-1678.6388958018;-387.104906627123;541.975219534731;1801.00746586499;784.143432292934;-590.076227858692;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
21375.8804790989;1214.68916283364;11573.3409758387;-212.589907377689;5395.57426328758;-3028.48121593325;177.323430679802;-570.874569509414;326.591345978907;621.053765162485;-1218.63203837623;1069.10762473348;-615.526983392285;-740.846911879834;392.539958620447;PL17_140uniflo-l1-s4-f4-c2-d1.png;PL17_140uniflo;flo;uni;PL17_140uniflo-l1-s4-f4-c2-d1
-14050.1329140153;7016.41441311543;2399.270424061;902.492514417644;23.5083272631925;-493.575386370831;1380.38374493406;844.975221232201;594.3138366009;-2287.68391851779;1120.81983264421;-125.248160927528;-1743.9446260412;-685.643332671927;-1077.30642488002;PL17_120maybel-l5-s4-f4-c2-d1.png;PL17_120maybel;bel;may;PL17_120maybel-l5-s4-f4-c2-d1
-16315.6528876561;-10523.7843899692;4886.20569341831;4775.15006544372;-1150.64431628913;579.040549204466;-371.821991867649;-646.370885336079;5.03938401663493;-371.694465663859;1444.63028638657;-1200.78620127275;-267.071635930515;-296.103173547332;-357.599124408714;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
8644.89236167857;-2824.35589340197;8630.54377062023;1524.23975476793;52.430900223605;3880.86307283807;1854.78148709743;-3682.61878255306;-726.646218420066;-604.432507736541;4434.37501805145;-2351.69944225188;1284.78752852728;-1519.99709629387;982.201852055181;PL17_125tanbel-l7-s4-f4-c2-d1.png;PL17_125ranbel;bel;ran;PL17_125tanbel-l7-s4-f4-c2-d1
-25599.4327104367;4083.31754498998;1676.40960216277;1307.93348500836;-1619.06099646486;2760.95342969592;-1224.61725924252;-221.100014266208;-2240.14056765124;2643.56433991816;-1129.54868154006;-2269.56623342377;-498.866875761118;-1745.72121617333;-885.753968596749;PL17_126maybel-l1-s4-f4-c2-d1.png;PL17_126maybel;bel;may;PL17_126maybel-l1-s4-f4-c2-d1
-20894.4962303114;23657.6717816619;25.6543846699633;1291.0597281198;-1109.99739257505;-1192.12394959459;3622.72604909372;-941.91802655229;-147.281385423693;-3263.65826679214;-393.461002400193;764.780098781456;1468.34677108834;1617.5428073355;141.201825498494;PL17_121maybel-l5-s4-f4-c2-d1.png;PL17_121maybel;bel;may;PL17_121maybel-l5-s4-f4-c2-d1
