PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-22970.5159206104;-903.746954103474;4394.08572456009;-355.25892254474;-4122.05595646463;2456.88972581143;991.366555792531;-1627.1858573471;874.809265756269;1259.23178341867;32.4117329861695;-128.103612213121;-146.896485672063;-1947.45796665433;569.818350132557;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
6420.98316296215;774.517845196512;-13465.9522662668;-4919.38587752521;4212.67684815877;4135.58781133498;2182.87278926996;2306.21513392302;4792.77994705079;-298.171429202061;109.996616004594;-2315.16024728398;-3507.7221055772;488.181582503845;-2111.81177995275;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
-7661.30739308566;-5118.6788589123;5029.0459148487;373.009368397611;5019.67658206604;-2130.10001709252;-2574.56654144184;-61.6062922537515;660.19887767735;-696.656957236417;1362.69679455619;132.580313201724;1008.51422549181;2781.20701738264;2057.70718623095;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
43704.3967076248;-5929.97213445735;17432.0826533953;-1356.96441940387;238.043782014542;9476.75147160164;4022.11775504872;-88.5134882680241;-1809.54178032765;-4733.50105632768;3162.23974152687;-4264.21022647005;5768.38118477938;-993.382189612743;-579.413301054176;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
-11201.2141905156;-5082.76944068425;-140.704686384221;3542.12159836578;-10091.1450786158;-2130.7079132968;-16.1520417655203;202.585751355277;3761.29214807222;973.909438733567;2391.07168548045;613.133188067518;-1025.21885526058;313.118079731843;813.101401895383;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
17255.3388074008;-3143.92420307653;-9095.17476850131;-834.042022667484;838.509266537558;4367.83672101908;-6041.03659770887;-2355.76288753066;838.858023161877;1578.52425430801;2128.33276997457;3080.10248921779;890.196155934622;-2204.56550784966;2821.24252633802;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
36374.109806261;-16283.3722620297;-13592.0162176773;-1027.65183659915;-2807.22464557298;-4060.051762636;-503.589044291772;-2453.70089512521;-6834.22426087802;326.253069048977;-957.384085142052;615.232300964852;-720.26194504943;-3391.95642323764;-2096.51339685355;PL17_109puebel-l2-s4-f4-c2-d1.png;PL17_109puebel;bel;pue;PL17_109puebel-l2-s4-f4-c2-d1
-37822.7142392118;601.717356800156;-2242.45216956791;-2705.48252810926;3878.51931518284;-2981.92854441321;1392.34930906749;-61.6185013417475;-2917.10047904998;-2422.35121582203;1286.1670476227;610.074425707668;1537.10987671511;-368.621723409267;-1163.39456937651;PL17_85indpor-l1-s3-f4-c2-d1.png;PL17_85indpue;pue;ind;PL17_85indpor-l1-s3-f4-c2-d1
-22584.132057724;-2668.42615360898;-2725.67415270283;711.397186690116;-2201.04662057528;1738.02916212273;1310.44997728505;434.354147424169;-2457.41928499139;-770.203358727899;2222.0409324006;-1575.76368946924;2379.2251588593;1840.03106908169;3018.95901617706;PL17_100indbel-l4-s4-f4-c2-d1.png;PL17_100indbel;bel;ind;PL17_100indbel-l4-s4-f4-c2-d1
29943.483485783;-17045.5071563439;2939.1046402567;-1499.3448646324;-6022.53137924223;-7032.55055790654;-4205.43383315866;-2027.34758281297;-4591.07748451204;-529.937619577867;1907.06404740281;-336.047111169531;-1650.64778181735;1232.44960708939;-1699.93203706223;PL17_103puebel-l1-s4-f4-c2-d1.png;PL17_103puebel;bel;pue;PL17_103puebel-l1-s4-f4-c2-d1
-13851.7987243292;1428.96239880285;-2284.29839379325;2590.03585877206;-11305.7931992016;3914.11959707555;-1430.47913678505;-43.2725234393876;-1546.10296601174;-21.1936566408561;-978.112021841194;-2605.08508483024;-1498.77504268831;1754.36934206621;3130.42668672894;PL17_111indbel-l1-s4-f4-c2-d1.png;PL17_111indbel;bel;ind;PL17_111indbel-l1-s4-f4-c2-d1
-1420.24411816934;-16350.1148337693;-3896.1924462678;-4629.08162963131;654.13853788107;-3349.71058861269;-256.257186197967;64.7863587540279;3514.85006223112;997.081047207469;4663.96537760806;-2248.4738863783;-3718.06270513444;764.284339951814;-742.086730825058;PL17_159pueflo-l5-s4-f4-c2-d1.png;PL17_159pueflo;flo;pue;PL17_159pueflo-l5-s4-f4-c2-d1
22009.7929158932;-13941.8571425821;-10368.6488965266;5920.17822215988;682.306740598867;-6709.15119403328;11697.7726750301;-1283.74738435883;1620.56831564405;7205.1001279539;-4958.35705259268;-982.058839361261;2911.59494772829;-895.456867688772;3496.51743724004;PL17_105puebel-l3-s4-f4-c2-d1.png;PL17_105puebel;bel;pue;PL17_105puebel-l3-s4-f4-c2-d1
