PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-516.912072116867;496.057696139185;-163.39312394112;-8.50943734413194;29.0882853857267;36.9160019213558;-79.5879248507801;0.654388526248687;-68.6686575404107;-2.98135782311786;-53.1409281885778;19.1085445353336;69.6401653182129;70.3835608469642;-45.2860391254553;PL17_103puebel-l1-s4-f4-c2-d1.png;PL17_103puebel;bel;pue;PL17_103puebel-l1-s4-f4-c2-d1
5719.367755391;-422.444582588979;-665.030283871937;-133.342926674372;-81.3183848810605;-103.454122571431;-82.7405423126214;114.604035339112;-40.9848942609014;18.783700569852;-26.3072790285086;-26.9671215179101;74.2801736555442;-58.6365743811627;121.069170746509;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
4770.36068249157;-530.749909863981;-685.122975444145;87.1062112262752;0.310749200110998;124.215549546266;-156.336610309617;107.677351923974;-3.48425544320846;149.527863511519;-102.442998688923;-68.5275995511794;-51.128804891824;-10.3202547690332;33.3538938567919;PL17_140uniflo-l1-s4-f4-c2-d1.png;PL17_140uniflo;flo;uni;PL17_140uniflo-l1-s4-f4-c2-d1
-192.448387747364;-242.922725230448;290.622183168004;-137.247674821928;-235.271112981834;-31.2231074403398;-19.5327705490838;14.6563599111228;-9.9425170869625;-14.5495177101869;-1.27197108240125;-10.9470660228228;-28.9549455363644;-2.60464680256531;-12.1162503795459;PL17_55unipor-l1-s3-f3-c2-d1.png;PL17_55unipue;pue;uni;PL17_55unipor-l1-s3-f3-c2-d1
-1164.30706342503;317.903910644734;-31.325622422475;-75.8615291870712;61.0079908169118;-37.611960422042;41.0541641141466;-3.59353407472511;-0.313104247175357;16.7026774154928;-19.4156453276428;-14.386563982475;-20.9671260754391;-25.0940455302841;30.9417223894795;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
-2689.08018980746;-280.039057874216;42.4676996063107;77.1438255631963;-29.3591309843701;2.8294278558822;0.81424073073421;9.33801000526459;12.2689283671809;0.639771412918733;-5.6207434316212;3.41581003860101;6.65567266990766;0.500117982417757;-1.39637981873674;PL17_60puepor-l1-s3-f3-c2-d1.png;PL17_60puepue;pue;pue;PL17_60puepor-l1-s3-f3-c2-d1
3824.76102834168;1832.03320127013;-419.571393301562;286.288752987361;309.34451861348;128.15639462209;189.267587658359;96.8280336921731;144.789311395835;35.8858417121991;104.192037861693;-126.747447905093;-125.990921781899;-127.35357643564;-170.031290465597;AG9RX50nigboc-l1-s2-f1-c2-d0.png;AG9RX_50nigboc;boc;nig;AG9RX50nigboc-l1-s2-f1-c2-d0
-1958.03899397574;23.3185028596624;-559.344349261791;139.084050399001;-142.508890089387;191.116519107947;-153.349194694563;8.38953799838628;11.9521222004887;-99.5596201642206;142.843656758114;113.039794184968;58.9175310882994;-119.937605004243;-33.7699554768647;PL17_159pueflo-l5-s4-f4-c2-d1.png;PL17_159pueflo;flo;pue;PL17_159pueflo-l5-s4-f4-c2-d1
-1670.43324487876;366.803763712332;-320.978503761872;-109.829879118736;-116.936986745813;23.6677295572249;-17.040204650662;6.14467819354555;23.6622937398123;-2.64103969683293;37.2017207853089;77.7709656964374;12.0446478921707;-31.2234109014992;6.92201596628952;PL17_157pueflo-l5-s4-f4-c2-d1.png;PL17_157pueflo;flo;pue;PL17_157pueflo-l5-s4-f4-c2-d1
2103.60236767012;-223.475627777342;165.963251284885;-117.109372532401;619.849878021506;-172.358050353165;245.040742145756;-92.8755884404444;-88.1729412752458;7.45432841693837;-145.849829599796;-127.300420715511;34.8556393328139;-35.2481120392215;111.375587899865;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
-2181.28499789594;282.471068374591;90.7243783560513;92.0209286611889;19.120146972388;-18.8003527604204;28.8800103754265;-19.8362222270629;9.17843499388291;-20.9751663116683;-18.3162981743866;-29.0902575821431;-20.4937270366628;5.62553412063212;12.4720539389351;PL17_091nigbel-l1-s4-f4-c2-d1.png;PL17_91nigbel;bel;nig;PL17_091nigbel-l1-s4-f4-c2-d1
6177.29080792972;-750.407765310738;96.2417370061796;-157.077088760524;80.8886875301553;-80.5508669383168;485.616152319356;372.11067184197;28.2836644292285;36.7560061118687;37.5521456592256;190.567907810625;131.201651216956;-5.84179096118048;-46.0844262591112;PL17_143uniflo-l4-s4-f4-c2-d1.png;PL17_143uniflo;flo;uni;PL17_143uniflo-l4-s4-f4-c2-d1
3227.90749890651;-542.314746167677;-593.215901208864;105.472702490657;-47.9678925070666;20.4135912098433;-84.7124476375094;57.9000891266693;-31.9463794775182;122.286448645353;-64.7703954243016;-24.9461565598226;-72.3935243033325;-82.5177141524529;45.5826227031859;PL17_138uniflo-r2-s4-f4-c2-d1.png;PL17_138uniflo;flo;uni;PL17_138uniflo-r2-s4-f4-c2-d1
763.880183074208;266.516996432373;-15.1752009040513;-116.389645475218;32.4224647215384;51.6995907596079;-69.4966627351033;-21.7119633184432;-79.9187549555289;-60.5286571826553;0.937445490624701;18.4270544710165;67.8401331085064;1.90049898361058;-5.24445631482921;28392uniboc-l1-s2-f1-c2-d0.png;28392uniboc;boc;uni;28392uniboc-l1-s2-f1-c2-d0
5738.75397175255;303.526182549317;962.191087553241;736.686410858596;-615.879647135425;430.882103914964;134.147958289501;-158.975290504455;128.317156888074;114.65639361305;-80.191153318737;2.71670261007225;139.959763855523;-64.5429861698222;76.1661846833933;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
-2938.697779223;-282.562532383276;-32.1412425737472;174.633882616391;-14.567224048323;-22.3413530162341;15.0841141494805;4.60318569497072;24.5134348953976;-23.6644437489053;10.8158797144862;-5.25570608795427;-22.6976546744718;-27.1619996761976;12.9785321732603;28385nigboc-l1-s1-f1-c2-d0.png;28385nigboc;boc;nig;28385nigboc-l1-s1-f1-c2-d0
-3161.56908962329;-285.448020718363;-11.5433981792001;149.865737086204;-16.5874466389436;-12.2021586790108;29.1503549296174;12.87518662129;33.4003669747449;-18.0297370743841;18.3595249058826;-8.37625605415754;-13.0268363184095;-12.3918576684449;15.2759616188376;AG9RX46nigboc-l1-s2-f1-c2-d0.png;AG9RX_46nigboc;boc;nig;AG9RX46nigboc-l1-s2-f1-c2-d0
-785.7547549466;462.856490994226;-173.848355991273;-195.064861202889;-51.9958000303198;-73.4849964515118;7.30206341056633;-17.6075094779526;-16.9350441228129;7.31913941496946;-69.1515433522823;21.878443946412;-20.3211499714967;-11.0100846416521;35.5422254243841;PL17_104nigbel-l1-s4-f4-c2-d1.png;PL17_104nigbel;bel;nig;PL17_104nigbel-l1-s4-f4-c2-d1
8774.99423400152;464.897644149765;237.044433276413;814.510480710747;170.999671082282;-374.379263346367;-130.750668516746;-100.033433423869;-54.1155226528769;-28.2729948961935;104.068104764655;127.384910620686;-11.8274960115578;77.028265376485;-11.8321612166401;28383uniboc-l1-s2-f1-c2-d0.png;28383uniboc;boc;uni;28383uniboc-l1-s2-f1-c2-d0
351.941830554792;302.839439579429;244.890145359352;-139.258059723873;-397.100813740397;-195.796793936136;-23.0151846715747;54.2499199181392;-18.4872086733001;38.39330443378;-31.0839796810194;-2.17523129067732;-22.0227597494352;66.0959215624896;-71.4438410291067;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
3428.92359037627;-551.745492241256;-318.424109714858;-141.884778781997;-271.094151895484;18.5315178429763;-181.401879075926;162.345541942583;-146.035247036652;77.7127312163693;35.8000220017485;-26.2185469174429;-71.3857974121774;-139.286618744387;-107.957803977665;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
-2616.95391625975;-253.406746495887;197.38945732064;-47.551383621107;-56.4959351008503;-80.7995818519381;0.876174253319489;-38.0625048702023;-2.62013357179069;-29.1139481433925;9.63057194875109;23.2697297734061;-10.3017436298995;-33.2493348157744;-19.7118879629247;PL17_69puepor-l1-s3-f3-c2-d1.png;PL17_69puepue;pue;pue;PL17_69puepor-l1-s3-f3-c2-d1
-651.228068453572;30.4442364327512;37.4852574358262;20.4597185261693;95.2311045949884;45.4840076160769;-38.5034331896147;3.52831179973936;-73.5148811012456;19.7467094783703;-44.0934878120733;14.9719641823934;18.5885465836381;12.7812571484242;-88.4613717744943;PL17_094puebel-l1-s4-f4-c2-d1.png;PL17_94puebel;bel;pue;PL17_094puebel-l1-s4-f4-c2-d1
-2706.01964516462;-291.532266322697;60.6346655261635;67.9141600354008;-49.5583475418622;10.9888377387479;5.17217605249088;18.4712171452498;33.7372551691099;-15.5331839213121;13.1716106789768;-5.3913143093769;-18.7014214313597;-11.2442952955965;-4.7822829429803;PL17_82puepor-l1-s3-f4-c2-d1.png;PL17_82puepue;pue;pue;PL17_82puepor-l1-s3-f4-c2-d1
-242.180063775934;-196.268389859046;27.5660428548697;136.546763937534;130.706613251862;28.0030773830323;-30.4906222014594;35.8734772838484;-95.0625234463974;7.70768941735559;-14.7788547789746;-10.1057262491121;-62.3457320243996;-16.9540049505092;7.54814430297833;28377uniboc-l1-s1-f1-c2-d1.png;28377uniboc;boc;uni;28377uniboc-l1-s1-f1-c2-d1
-2281.99744768307;13.1891271764569;178.557074878214;-132.172134933432;-122.597116205217;-84.7018398879362;37.3810100992495;-28.955941713784;18.9639734398202;-6.05472513569584;-40.5134105474742;26.1402963603473;-69.8560816968444;0.29852443013987;15.699721326919;PL17_65puepor-l1-s3-f3-c2-d1.png;PL17_65puepue;pue;pue;PL17_65puepor-l1-s3-f3-c2-d1
-1743.28556878945;-491.570931924759;235.801707096767;-68.7401913904374;20.4639896103853;15.3590858643913;15.4969804804503;-11.8265028918332;14.2369744449968;-9.14116391422657;-2.53355965439723;-42.5006139775918;-24.786037089256;1.03532916988182;41.9610306360437;28391uniboc-l1-s1-f1-c2-d0.png;28391uniboc;boc;uni;28391uniboc-l1-s1-f1-c2-d0
4290.83659231371;-723.154900302056;-631.286504313867;-470.584683637076;366.774168094454;-9.46554484884039;-133.98145617074;-187.315379093289;467.307855578737;37.9386251866994;-26.7462400420079;1.81223947425698;58.0180871857754;54.9964941003218;-77.7174433879783;PL17_141uniflo-l8-s4-f4-c2-d1.png;PL17_141uniflo;flo;uni;PL17_141uniflo-l8-s4-f4-c2-d1
-1921.54987648747;-248.805742068706;32.8447957678453;-234.823221539984;138.887025344568;-19.7276017130085;77.1092268435306;-270.250381869997;-156.946462944457;432.861477333507;283.793668391168;16.4787112054459;25.4080579908147;19.117617069077;-16.4096497321593;PL17_50puepor-l2-s3-f3-c2-d1.png;PL17_50puepue;pue;pue;PL17_50puepor-l2-s3-f3-c2-d1
-2985.79494473844;-315.144154059642;-38.0816710951871;140.431364158653;-21.9877953683227;-15.6257463954692;15.9980265184456;10.9103605127139;33.959055468781;-24.9857153649952;28.0424078268825;-4.8232665853536;-0.888948184495478;-21.9274864774399;1.07068180129432;28386nigboc-l1-s1-f1-c2-d0.png;28386nigboc;boc;nig;28386nigboc-l1-s1-f1-c2-d0
-2343.24273032528;157.850657988595;80.1956836438021;310.48720930581;102.614059036231;21.6191283232949;2.09466421135331;3.33649985190645;-6.45039321924257;-29.3274641480867;-1.61944329787938;0.466538535198051;18.3695346355618;42.8279166702164;-25.3934448359612;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
