PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
-9535.6756766833;-6904.77971562523;-2544.54708092749;-3898.87092979051;2658.73501337582;-1170.81833262807;-904.364803498763;-1375.0124529918;1371.06136561536;-235.047955368883;-312.967758102098;993.800360895707;1924.60343249515;1350.59368121651;-1081.36893642128;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
17864.0521134812;8271.59875948287;-3766.14203221393;2177.7848669113;196.871981752303;-1135.17569133577;-15.3035135490861;-1829.28284805734;-1600.69724533038;119.173890296598;-838.744146205093;1213.93641030643;1342.13802183892;-268.869270747917;-398.656898586372;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
16445.5604825888;-5147.72474180718;-9134.59808496202;9769.693774233;-573.860895308885;2525.40065280842;-914.163445411947;-4406.3153670105;-3310.73452828517;1434.01061664971;417.550833299782;-1471.91533813106;1154.59658370342;2350.4663577773;-92.7342553740305;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
1398.31148581566;-7901.20157720875;-461.650262688134;-5698.26933875542;3767.24414519139;1939.63949692446;868.008706729634;3087.45044135433;-2603.9763264595;-1705.8572155832;317.707886801084;-1378.97892330604;-912.288706212396;769.77919559069;2049.68945236257;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
2784.95034321236;-8755.62093840702;1722.5671446058;-1221.7104995695;4627.77737067636;-7046.02590092585;-633.557977505431;-2896.7105732095;104.948716859679;3351.50314449444;609.972285718621;1155.20704684341;-652.874361837215;-826.29799767512;1683.68525607732;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
27316.1102041194;-4495.7337192516;-5034.25146414111;938.043496977977;-813.067315198584;-1486.33813351577;2807.90998959312;2842.16246155452;-552.952968109353;3681.95055519814;611.560740303931;3862.1889883602;-502.151440787528;-1697.67429085112;-724.774950091748;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
34422.4413351193;16168.835456247;-4522.59630951719;-2588.52132797407;481.30718640601;-882.391161748675;-3248.50742999943;-930.65897898143;26.7481712533456;2735.34518712108;-2136.39273198792;989.738290065926;-1807.65688170583;-1786.50059755878;1643.97289537572;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
-23530.0617502503;58.7227753900357;-192.173396839891;2291.10383254019;-1873.92617886257;21.1666445694616;682.849291815575;191.882483155629;-150.610675585285;-774.90620815848;-3029.50868340525;1127.47130844549;-532.476900954436;-390.303270239339;1166.48562041016;PL17_087nigbel-l4-s4-f4-c2-d1.png;PL17_87nigbel;bel;nig;PL17_087nigbel-l4-s4-f4-c2-d1
18280.63863198;15268.6696377877;3252.05065840106;-3893.85531781625;-829.290189130091;-278.217429336932;101.904943598269;-4282.06531952668;-2493.54097925804;-1930.52701997912;1087.99002507889;1114.8272474696;-1244.87490354423;579.046847922175;1148.36126880706;PL17_135uniflo-l6-s4-f4-c2-d1.png;PL17_135uniflo;flo;uni;PL17_135uniflo-l6-s4-f4-c2-d1
-17521.2675507812;3293.79686059385;2753.57002860852;3481.08756244597;870.544856756697;-424.411171496296;-82.4189104351764;492.572256523409;-960.088532911092;-158.500831821419;-303.281295404233;451.017058176967;199.882100423952;-744.578031822822;143.215016749974;PL17_093nigbel-l1-s4-f4-c2-d1.png;PL17_93nigbel;bel;nig;PL17_093nigbel-l1-s4-f4-c2-d1
-22901.3725749121;807.621899486932;1437.28596263968;2429.38769331832;-943.970357309704;376.038060744367;441.742607829479;-134.023621690458;-752.199548403812;-303.833630944377;-895.275431157179;596.544007030741;126.974848883985;-202.677640880101;68.3221117924294;PL17_112nigbel-l1-s4-f4-c2-d1.png;PL17_112nigbel;bel;nig;PL17_112nigbel-l1-s4-f4-c2-d1
-23282.3469323623;968.547020298715;1680.85182939042;2201.58796830595;-997.535470427722;233.240927877422;407.475954416887;86.4547115118044;-196.957447785595;-131.300948831706;-1589.97872624084;486.410439445368;131.250675708875;-36.7663386945894;164.184800407679;PL17_108nigbel-l1-s4-f4-c2-d1.png;PL17_108nigbel;bel;nig;PL17_108nigbel-l1-s4-f4-c2-d1
