PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
49642.6154168588;4661.94737350397;4327.68421523414;-13760.1078138199;-2106.43846167299;-878.441477938977;-3932.57142791256;1887.77057705932;-648.931100325193;1755.85232124425;-3492.39810844507;-1166.9528853196;1600.03346088166;12.3597373213163;415.853330322454;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
33305.4551185747;-9183.14926146182;11922.99265747;-7727.68358910354;-2074.61317939444;-9934.25107756689;1867.50132070078;-1480.47228937653;3131.29727183242;-800.253885130795;3762.84818598503;2593.43538291977;-2971.03917609386;1457.83808642472;-161.361626236634;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
42457.8718343451;-26854.6601161285;13111.7287106426;2427.73493747472;8806.96034323309;2086.09656500897;-753.879818323449;3347.38092598791;-1021.02320008243;-5131.1334756932;773.311546256656;-2582.71824165599;1598.40878272133;1607.3880291252;-1531.32725924518;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
16196.0169212633;24642.8714203336;22444.7866070018;11711.1069221046;-4265.32986047322;-9278.65215943895;4751.37313581834;-136.691427021966;-2035.72326118385;5113.76499040553;-1843.24750296449;2015.57567663683;7286.72212166432;1370.73210684926;-648.157729069139;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
-35061.2484699023;2085.04642161941;3923.23444230403;-5248.25832645119;1596.27242541862;1339.99111793267;-573.227739571548;-1796.98159261471;-917.754605745436;611.680695908664;-1091.94295332879;150.192163110477;213.801309963241;-1210.92186139107;565.100605561372;28394nigboc-l1-s1-f1-c2-d0.png;28394nigboc;boc;nig;28394nigboc-l1-s1-f1-c2-d0
-11637.4339191504;1685.5104178805;-6422.54180223919;8492.74121461864;-4913.98561071473;-4563.1272791395;-3429.53661183003;807.4405851545;-1152.2766744954;-3590.29981267918;85.8176884178348;-1531.32808798757;-3222.20952018399;-745.440073474155;-101.121961476095;PL17_39chlpor-l1-s3-f3-c2-d1.png;PL17_39chlpue;pue;chl;PL17_39chlpor-l1-s3-f3-c2-d1
-10138.0805983286;-631.166086439642;-1655.15518097685;-7379.12036847929;3000.79512612619;120.862989793436;6149.98399054541;318.393575647714;-633.573391747121;-2287.10329636038;-141.633081240086;-663.737431529975;891.312144781633;2128.80219014642;493.001282482922;28366gumboc-l1-s2-f1-c2-d1.png;28366gumboc;boc;gum;28366gumboc-l1-s2-f1-c2-d1
-2319.16925324537;-16970.5009513311;-15196.7400630733;4537.37610371701;-8644.12039864049;-224.270498593553;1060.91190555633;108.541596435825;-974.802790556579;1194.97822118659;-1479.91418334203;-82.166503051517;459.391067019101;19.7038105959795;250.248654136396;PL17_62puepor-l1-s3-f3-c2-d1.png;PL17_62chlpue;pue;chl;PL17_62puepor-l1-s3-f3-c2-d1
6580.89926152471;5124.65057951594;4486.3971257132;161.269908369654;-4597.76523930237;2805.43636165131;2750.52677476388;-816.137599627562;81.4522370029965;426.998628074249;2967.29519204898;-3186.31986389291;1413.53448772407;591.348128281147;686.452695130807;PL17_66unipor-l1-s3-f3-c2-d1.png;PL17_66unipue;pue;uni;PL17_66unipor-l1-s3-f3-c2-d1
-7697.00104254602;6794.63920355713;-10972.8071768812;4787.80955194154;-5937.94556521872;-5383.56132611594;11094.3122347661;7999.34571941475;-1206.63314047479;456.037861455005;-2533.11604068453;-3052.24338593344;-429.319165577905;-2907.02292466151;2197.03779253055;PL17_68gutpor-l1-s3-f3-c2-d1.png;PL17_68gutpue;pue;gut;PL17_68gutpor-l1-s3-f3-c2-d1
25312.0566353229;785.847801043142;-9488.66264583376;-4530.49913807555;-5677.63008381041;2540.02601907277;3750.55741392466;-1658.92541348389;1962.53455957788;1067.31062414516;2068.31340786894;-1684.97157747565;577.721296688529;-2461.26004621267;-987.044741676639;PL17_55unipor-l1-s3-f3-c2-d1.png;PL17_55unipue;pue;uni;PL17_55unipor-l1-s3-f3-c2-d1
-34934.7139901582;4050.51051529591;3687.87300399587;-4369.17640391949;1949.99144578024;459.375876301328;-147.487664778204;-1287.09108137831;-1819.67679110034;32.9851202896863;520.826035266052;1018.3735823839;-1049.81420196604;-822.752523120241;323.409751326945;28386nigboc-l1-s1-f1-c2-d0.png;28386nigboc;boc;nig;28386nigboc-l1-s1-f1-c2-d0
-29890.5103422413;6975.88364583414;-776.596879813367;-1132.17510452211;4737.34741124993;-2247.5693395743;347.353321842748;486.46209225281;566.578137518169;701.125319524333;929.305839833413;-1805.11920233151;-2686.29705280583;983.876912693291;460.885580546737;PL17_85indpor-l1-s3-f4-c2-d1.png;PL17_85indpue;pue;ind;PL17_85indpor-l1-s3-f4-c2-d1
-22886.4723429627;-15489.7613084252;-8089.15029005804;1615.65174103945;-8827.23313749981;365.402322308054;-2621.46413738427;-1922.38459974621;1590.47316865757;420.320311942106;1729.8635202376;-1150.91525012066;2665.52389716294;3359.30634295659;-603.924144141741;PL17_41chlpor-l1-s3-f3-c2-d1.png;PL17_41chlpue;pue;chl;PL17_41chlpor-l1-s3-f3-c2-d1
41635.0802666098;-13236.314910234;3297.36135506092;-9307.05829227992;-3352.69453835797;-6558.48102225425;-2298.73629033485;1582.03202973855;1378.36745455099;2156.86098443716;6659.48302547269;550.934776905759;858.395194146428;-912.486826557388;-1221.95606075258;PL17_63unipor-l1-s3-f3-c2-d1.png;PL17_63unipue;pue;uni;PL17_63unipor-l1-s3-f3-c2-d1
35112.9106050936;29396.9141597303;-1194.60051589824;2573.15617285635;-5958.72584276241;4870.88678979389;1001.74969788018;8.40693476198195;-3639.52387617451;2294.72736553086;6520.86385331892;1519.3061574524;460.510252254267;-2594.84153904578;-1846.95637017951;PL17_67unipor-l1-s3-f3-c2-d1.png;PL17_67unipue;pue;uni;PL17_67unipor-l1-s3-f3-c2-d1
-22333.9964910007;-5459.55734952361;-2324.36510881077;2519.30460610506;-6395.52409547803;309.806430664463;-2620.33945440642;-943.462738394211;-633.349286090472;-587.717710905874;85.9400882501492;-3671.58629910196;1362.09441119098;2832.39399280446;680.118485744282;PL17_40chlpor-l1-s3-f3-c2-d1.png;PL17_40chlpue;pue;chl;PL17_40chlpor-l1-s3-f3-c2-d1
62080.9455822237;6837.27572116211;3550.88500503203;-1207.57347033654;-10616.4076493225;4776.00204246433;-2239.86323551862;-3105.74917899723;-4433.78678888354;-1347.16948908465;-3478.44501992685;2906.22717590126;-2356.45311258977;7016.6542672588;873.000081234034;PL17_01uniboc-l1-s2-f1-c2-d0.png;PL17_01uniboc;boc;uni;PL17_01uniboc-l1-s2-f1-c2-d0
-32415.4112265041;-1945.21459811852;-904.51539187075;-3674.8140168496;-1323.60865481775;-1314.44027872982;-1221.5794008567;-416.132502552113;-1390.1841530495;512.411791925381;-30.474809832324;-623.270716321923;409.281454994553;548.601954909238;341.196124121042;PL17_44chlpor-l1-s3-f3-c2-d1.png;PL17_44chlpue;pue;chl;PL17_44chlpor-l1-s3-f3-c2-d1
-39233.8630118278;4566.75269822147;3515.36701940552;-6765.29127829149;3735.68858200775;-389.303159377451;55.4020753723776;-2091.93600863276;-1082.06452507121;-3.52066216631003;-93.7151191164308;429.215592453437;-287.714525211427;-854.975337826494;581.877981796106;28399nigboc-l1-s1-f1-c2-d0.png;28399nigboc;boc;nig;28399nigboc-l1-s1-f1-c2-d0
-17770.3832251935;-711.387364366386;-9253.62036047087;3263.9950194344;-1834.52010773198;-4791.231123962;-2148.52921589991;2476.5986100552;-2876.8316418306;222.633677581642;56.0127235297487;46.1763440787424;-161.749651210157;-3249.04330615727;-1209.1838882592;PL17_86chlpor-l1-s3-f4-c2-d1.png;PL17_86chlpue;pue;chl;PL17_86chlpor-l1-s3-f4-c2-d1
33017.7126555647;-23879.8835752039;11234.557533642;6968.68291738861;10625.3148876482;5905.22334099967;3584.61547896305;3935.06251540656;-2254.40859947282;-1307.66264220864;-2025.94092759866;-1657.80867973315;-140.109806074759;-419.939782196129;-2246.63632237522;PL17_05pueboc-l1-s2-f1-c2-d0.png;PL17_05pueboc;boc;pue;PL17_05pueboc-l1-s2-f1-c2-d0
-6533.79845185363;2173.02532140391;-1863.48921794351;-5791.9572209294;7166.30690299675;2563.91606700724;1065.73422754581;-4.59242108990838;-1645.84044332965;-1935.61219038038;1842.73416258847;-1525.41941561079;969.153382697983;410.212898766524;-612.061700802298;AG9RX48pueboc-l1-s1-f1-c2-d0.png;AG9RX_48pueboc;boc;pue;AG9RX48pueboc-l1-s1-f1-c2-d0
36839.6182557875;-14584.451982173;20915.4983255959;-6362.91826360183;-3297.66887777068;-5635.69186764657;-1807.78715377655;2060.21757067888;2881.1503832455;1907.09413424514;1492.27786621168;-2089.63588442725;-2852.99115388716;-584.726909975077;1436.5772168718;28383uniboc-l1-s2-f1-c2-d0.png;28383uniboc;boc;uni;28383uniboc-l1-s2-f1-c2-d0
-5466.39892087067;27137.6571770749;2672.35348180547;8799.19773717406;-955.579178400264;284.720133322287;2848.34082117676;5379.37051296896;4428.11281728422;-7032.92566583425;1057.07502403184;860.93124883941;-1076.67519319985;2308.26374532534;3379.57212790588;PL17_71tanpor-l1-s3-f3-c2-d1.png;PL17_71tanpue;pue;tan;PL17_71tanpor-l1-s3-f3-c2-d1
-27327.2950280396;-10572.3983241714;-7965.83994096272;-286.307424734027;-6945.93947170059;379.318418960531;-1632.83161307966;-1333.17095583116;1934.75357108823;44.665557479219;-539.393744417597;1695.00454973362;1567.6910869646;387.037006992983;-924.102471785091;PL17_38chlpor-l1-s3-f3-c2-d1.png;PL17_38chlpue;pue;chl;PL17_38chlpor-l1-s3-f3-c2-d1
-34321.0558346243;6037.14962855337;4671.82697614328;-5134.52747344273;2844.50698490613;2040.80183024236;-262.889863876977;842.318804012927;-1073.66677950916;154.562051891366;-791.607229977274;1058.68912673426;-943.62822964882;-1496.31608186806;179.636928500407;28385nigboc-l1-s1-f1-c2-d0.png;28385nigboc;boc;nig;28385nigboc-l1-s1-f1-c2-d0
-4052.69321957817;10480.9894117071;-3882.03966303169;-6359.45573344563;-1297.8828525318;1887.44141775019;-697.063477200174;-1772.61461538174;83.593081363442;604.98625345577;1675.14270463012;-2184.54048087837;48.8845861020212;620.923659422658;-325.918168840548;28391uniboc-l1-s1-f1-c2-d0.png;28391uniboc;boc;uni;28391uniboc-l1-s1-f1-c2-d0
-26085.015065753;-7788.3326984722;-1495.34538086515;-862.585713840165;-5029.44333416059;-21.8555616750409;-1775.63798163561;-1200.9583715668;-1532.46857766312;303.724708398297;-115.234815756043;-3426.34578353063;1065.37486596433;2415.9650001702;776.965525228493;PL17_42chlpor-l1-s3-f3-c2-d1.png;PL17_42chlpue;pue;chl;PL17_42chlpor-l1-s3-f3-c2-d1
