trip	ORGname	sampleID	orientation	numberOrient	colorID	frameID	cameraID	species	location	inSitu	shitty	image	flash	best_image
1	IMG_0809	28352	left	l1	2	1	2	pue	boc	1	NA	28352pueboc-l1-s2-f1-c2-d1.CR2	On	1
1	IMG_0810	28352	right	r1	1	1	2	pue	boc	1	NA	28352pueboc-r1-s1-f1-c2-d1.CR2	On	0
1	IMG_0811	28352	right	r2	1	1	2	pue	boc	1	NA	28352pueboc-r2-s1-f1-c2-d1.CR2	On	0
1	IMG_0812	28353	left	l1	1	1	2	pue	boc	1	NA	28353pueboc-l1-s1-f1-c2-d1.CR2	On	0
1	IMG_0813	28353	left	l2	1	1	2	pue	boc	1	NA	28353pueboc-l2-s1-f1-c2-d1.CR2	On	0
1	IMG_0815	28353	right	r1	2	1	2	pue	boc	1	NA	28353pueboc-r1-s2-f1-c2-d1.CR2	On	1
1	IMG_0816	28354	left	l1	2	1	2	pue	boc	1	NA	28354pueboc-l1-s2-f1-c2-d1.CR2	On	0
1	IMG_0817	28354	left	l2	2	1	2	pue	boc	1	NA	28354pueboc-l2-s2-f1-c2-d1.CR2	On	0
1	IMG_0819	28354	right	r1	1	1	2	pue	boc	1	NA	28354pueboc-r1-s1-f1-c2-d1.CR2	On	1
1	IMG_0820	28354	right	r2	1	1	2	pue	boc	1	NA	28354pueboc-r2-s1-f1-c2-d1.CR2	On	0
1	IMG_0821	28355	left	l1	1	1	2	nig	boc	1	NA	28355nigboc-l1-s1-f1-c2-d1.CR2	On	0
1	IMG_0823	28355	left	l2	1	1	2	nig	boc	1	NA	28355nigboc-l2-s1-f1-c2-d1.CR2	On	1
1	IMG_0824	28355	right	r1	2	1	2	nig	boc	1	NA	28355nigboc-r1-s2-f1-c2-d1.CR2	On	0
1	IMG_0825	28355	right	r2	2	1	2	nig	boc	1	NA	28355nigboc-r2-s2-f1-c2-d1.CR2	On	0
1	IMG_0826	28356	right	r1	2	1	2	nig	boc	1	NA	28356nigboc-r1-s2-f1-c2-d1.CR2	On	0
