PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;images;sample;geo;spec;im
20564.6621490765;35430.0538940413;4852.3143816633;-20960.1110030866;6416.92692838284;-5739.24348248578;-23219.9150664496;4904.30164392537;-2220.93764196266;816.69002423739;-6884.2803747234;-2956.27031735971;4992.41336577667;-2695.10434014572;-2077.87311325188;28388uniboc-l1-s1-f1-c2-d0.png;28388uniboc;boc;uni;28388uniboc-l1-s1-f1-c2-d0
-4965.29483586205;-20964.0233086853;7365.47961759734;-8923.11743069317;10393.0471988997;2445.42825898336;2657.65446323041;2696.73499114818;337.376817286879;-2605.99081457032;-481.167048351722;-1913.5683134677;2911.55601750354;2032.11128894568;2237.15552560041;PL17_127indbel-l6-s4-f4-c2-d1.png;PL17_127indbel;bel;ind;PL17_127indbel-l6-s4-f4-c2-d1
56224.4003188709;10357.9091557093;-22754.4775766694;17803.3120921805;-12752.6146329767;-8433.68633179036;5577.52356865299;9557.85324972583;-5941.00929610826;5639.07029893441;-4812.3155449767;-947.163908196299;-15754.798247702;2667.95015486668;14332.2475967622;PL17_137uniflo-l4-s4-f4-c2-d1.png;PL17_137uniflo;flo;uni;PL17_137uniflo-l4-s4-f4-c2-d1
28599.2070213046;-25533.6194531255;-9738.9453532653;-1357.16766096326;4532.56753861394;-13880.7484024676;-7994.5993249013;-15428.7451161243;5323.80324305455;4921.36034991574;11928.3715909843;8798.15392557867;1298.13452838075;6379.61645831869;-706.26886428163;PL17_139pueflo-l1-s4-f4-c2-d1.png;PL17_139pueflo;flo;pue;PL17_139pueflo-l1-s4-f4-c2-d1
7469.44118971719;-16796.7519442772;-7438.84719526232;-9970.59540305921;13247.3178109754;3698.17835023043;-8101.33541201631;-5389.79178242367;16047.7471446787;3744.12936401589;8113.74848934751;-6916.93392183113;7261.43593461394;52.9320751831115;5403.22305499841;PL17_160pueflo-l1-s4-f4-c2-d1.png;PL17_160floflo;flo;flo;PL17_160pueflo-l1-s4-f4-c2-d1
16652.2330032585;27019.6463859778;5548.3721350264;2804.38933557299;15997.5285932454;-12570.7838322878;-21314.5798028747;12395.5975984893;1812.61759816612;5039.28913474172;-6922.03730817564;6788.00994623439;-8321.09354119372;3453.47218627631;-5752.69465049079;PL17_74unipor-l1-s3-f3-c2-d1.png;PL17_74unipue;pue;uni;PL17_74unipor-l1-s3-f3-c2-d1
17036.7363023653;29730.897664305;22017.2126045783;15533.9407344561;1223.16860000982;3690.55681660896;13118.7071932976;2889.07709570847;4984.21543217667;-197.544272267594;2183.32657049484;9340.85851935915;-2826.32993339497;6253.24766876713;8007.3200585125;PL17_04pueboc-l1-s2-f1-c2-d0.png;PL17_04pueboc;boc;pue;PL17_04pueboc-l1-s2-f1-c2-d0
12927.4882085704;-23449.2105998042;-3538.66789595914;-8337.43761448292;9838.99346765656;7227.57130044367;-4558.40416600783;4595.63273428908;-3299.14521223527;-7390.8407768981;4489.40836549261;7735.05921907533;-5721.47788605299;566.324032898546;726.064243302014;PL17_132indbel-l2-s4-f4-c2-d1.png;PL17_132indbel;bel;ind;PL17_132indbel-l2-s4-f4-c2-d1
32930.6432147398;-15157.4437908013;14020.3454730674;5412.66929988442;-14936.7013673663;-19557.0124313756;-6796.69472478079;6150.1116598274;6787.66529977234;-9156.13055938838;-16375.2341915699;-16174.3337527525;-6861.10374360117;10771.3381240359;-2583.17577404223;PL17_110puebel-l1-s4-f4-c2-d1.png;PL17_110puebel;bel;pue;PL17_110puebel-l1-s4-f4-c2-d1
-7630.16540995571;7223.73770525194;4065.1672630236;-24.4597119236875;-10879.0348990563;3469.11558273682;-538.939268199776;-451.890313868049;-2421.49109678889;35.9054229405152;192.962064595058;-3423.18106818673;1346.69652917335;146.083473072454;7184.08069502476;PL17_70unipor-l1-s3-f3-c2-d1.png;PL17_70unipue;pue;uni;PL17_70unipor-l1-s3-f3-c2-d1
38535.1212588856;-11777.1422875391;29235.9978600421;-8137.03603686078;-12736.5275884962;20968.2314543981;-20206.3799408743;-13346.2379209434;-18003.1558746078;6645.90291490069;59.3379539216044;4363.1148793571;6740.29728651946;-3807.950517358;4459.48032711559;PL17_136uniflo-l5-s4-f4-c2-d1.png;PL17_136uniflo;flo;uni;PL17_136uniflo-l5-s4-f4-c2-d1
