PC	variation
PC01	1.4762892190737904
PC02	1.2644924502436024
PC03	1.1174182640302333
PC04	1.0919806378889316
PC05	1.0501993052047183
PC06	1.0417132275945016
PC07	1.0121172111329244
PC08	1.006037707261167
PC09	1.0007727941490763
PC10	0.993993845661088
PC11	0.9908670997720606
PC12	0.9846037313251242
PC13	0.982455329614296
PC14	0.9763369789863601
PC15	0.9752943239421644
PC16	0.96290244491540955
PC17	0.9576694721773455
PC18	0.9527365050739052
PC19	0.9379016445904921
PC20	0.9362116855164604
PC21	0.9326269384294648
PC22	0.9303041596297613
PC23	0.928465514135777
PC24	0.9247594813338944
PC25	0.9187336908973596
PC26	0.9126544662128225
PC27	0.9097763182635897
PC28	0.9040063016115899
PC29	0.901943856215288
PC30	0.9004230169119021
PC31	0.8976888409043603
PC32	0.8965876236522533

