PeakID (cmd=annotatePeaks.pl /user/doau0129/work/hamlet_color//outputs/7_gxp/continuous/LAB/LAB_pnudctm_pnu/PC1_5/PC1_5_all_homer.txt /user/doau0129/data/ref_genome/HP_genome_unmasked_01.fa.gz -gtf /nfs/data/zipa6261/Hypoplectrus_genomes/Genome_Hpue/Hpue_annotation_02_AGAT.gtf -annStats /user/doau0129/work/hamlet_color//outputs/7_gxp/continuous/LAB/LAB_pnudctm_pnu/PC1_5/PC1_5_all_homer_output_annStats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LG20_13696210	LG20	13696210	13696210	+	0	NA	intron (HYPPUEv3M00000424380, intron 2 of 11)	-intron (HYPPUEv3M00000424380, intron 2 of 11)	3859	HYPPUEv3M00000424380	HYPPUEv3G00000424379	HYPPUEv3M00000424380						
LG19_21678751	LG19	21678751	21678751	+	0	NA	intron (HYPPUEv3M00000408525, intron 16 of 17)	-intron (HYPPUEv3M00000408525, intron 16 of 17)	-15997	HYPPUEv3M00000408563	HYPPUEv3G00000408562	HYPPUEv3M00000408563						
LG08_3552866	LG08	3552866	3552866	+	0	NA	Intergenic	Intergenic	6112	HYPPUEv3M00000146386	HYPPUEv3G00000146385	HYPPUEv3M00000146386						
LG01_13345963	LG01	13345963	13345963	+	0	NA	intron (HYPPUEv3M00000011671, intron 7 of 8)	-intron (HYPPUEv3M00000011671, intron 7 of 8)	-4198	HYPPUEv3M00000011691	HYPPUEv3G00000011690	HYPPUEv3M00000011691						
LG16_3130185	LG16	3130185	3130185	+	0	NA	intron (HYPPUEv3M00000325160, intron 21 of 22)	-intron (HYPPUEv3M00000325160, intron 21 of 22)	4655	HYPPUEv3M00000325150	HYPPUEv3G00000325149	HYPPUEv3M00000325150						
LG06_11425610	LG06	11425610	11425610	+	0	NA	intron (HYPPUEv3M00000111708, intron 8 of 13)	-intron (HYPPUEv3M00000111708, intron 8 of 13)	-9103	HYPPUEv3M00000111692	HYPPUEv3G00000111691	HYPPUEv3M00000111692						
LG08_5211426	LG08	5211426	5211426	+	0	NA	Intergenic	Intergenic	13697	HYPPUEv3M00000148012	HYPPUEv3G00000148011	HYPPUEv3M00000148012						
LG07_9296785	LG07	9296785	9296785	+	0	NA	Intergenic	Intergenic	-1247	HYPPUEv3M00000133943	HYPPUEv3G00000133942	HYPPUEv3M00000133943						
LG08_13006327	LG08	13006327	13006327	+	0	NA	Intergenic	Intergenic	-11169	HYPPUEv3M00000154493	HYPPUEv3G00000154492	HYPPUEv3M00000154493						
LG13_10852071	LG13	10852071	10852071	+	0	NA	Intergenic	Intergenic	28321	HYPPUEv3M00000266489	HYPPUEv3G00000266488	HYPPUEv3M00000266489						
LG18_13120299	LG18	13120299	13120299	+	0	NA	Intergenic	Intergenic	16060	HYPPUEv3M00000382513	HYPPUEv3G00000382512	HYPPUEv3M00000382513						
LG19_20904909	LG19	20904909	20904909	+	0	NA	TTS (HYPPUEv3M00000407805)	-TTS (HYPPUEv3M00000407805)	-1544	HYPPUEv3M00000407815	HYPPUEv3G00000407814	HYPPUEv3M00000407815						
LG09_14506088	LG09	14506088	14506088	+	0	NA	Intergenic	Intergenic	245259	HYPPUEv3M00000181465	HYPPUEv3G00000181464	HYPPUEv3M00000181465						
